Analysis title,Surrounding pOC,Brine pOC,Predicted brine pOC,Surrounding dOC,Brine dOC,Predicted brine dOC,Present cell density,Predicted end cell density,EEA Lower,EEA Upper,Real EEA,EEA predicted timespan,dOC/cell,Maintenance energy lower bounds,Maintenance energy upper bound,Simulation growth rate,Minimum growth rate,Minimum doubling time,Growth yield,Brine expansion factor
CB1 - Min $\mu_{max}$ - Low $m$ - Calculated $\gamma_{cell}$,1.64e+13,1.49e+11,6.25e+12,4.08e+10,1.23e+12,6.5e+12,5.7e+06,5.71e+06,1.95e-01,8.02e-01,4.99e-01,-2.74e-03,1.57e+01,1.8071e-01,7.4366e-01,2.7673e-07,2.7673e-07,6.86e+03,2.4042e-05,3.33e-01
CB4 - Min $\mu_{max}$ - Low $m$ - Calculated $\gamma_{cell}$,1.69e+13,4.97e+10,6.67e+12,7.4e+11,1.02e+12,7.48e+12,1.14e+07,1.14e+07,1.01e-01,4.83e-01,2.92e-01,-2.74e-03,5.40e+01,9.9397e-02,4.7491e-01,3.2418e-07,3.2418e-07,5.85e+03,1.7622e-04,3.33e-01
CBIW - Min $\mu_{max}$ - Low $m$ - Calculated $\gamma_{cell}$,1.64e+13,2.38e+10,7.55e+12,4.08e+10,3.60e+11,6.77e+12,1.39e+08,1.24e+08,8.06e-03,5.84e-02,3.32e-02,-2.74e-03,1.57e+01,7.9006e-03,5.7210e-02,4.9535e-07,4.9535e-07,3.83e+03,9.8339e-04,3.33e-01
CB1 - Min $\mu_{max}$ - Low $m$ - Measured $\gamma_{cell}$,1.64e+13,1.49e+11,1.64e+13,4.08e+10,1.23e+12,0.e+00,5.7e+06,0.e+00,1.95e-01,8.02e-01,1.22e-02,8.12e+04,1.57e+01,1.8071e-01,7.4366e-01,2.7673e-07,2.7673e-07,6.86e+03,2.4042e-05,3.33e-01
CB4 - Min $\mu_{max}$ - Low $m$ - Measured $\gamma_{cell}$,1.69e+13,4.97e+10,1.68e+13,7.4e+11,1.02e+12,0.e+00,1.14e+07,0.e+00,1.01e-01,4.83e-01,1.22e-02,7.10e+04,5.40e+01,9.9397e-02,4.7491e-01,3.2418e-07,3.2418e-07,5.85e+03,1.7622e-04,3.33e-01
CBIW - Min $\mu_{max}$ - Low $m$ - Measured $\gamma_{cell}$,1.64e+13,2.38e+10,1.31e+13,4.08e+10,3.60e+11,1.18e+12,1.39e+08,1.24e+08,8.06e-03,5.84e-02,1.22e-02,4.87e+04,1.57e+01,7.9006e-03,5.7210e-02,4.9535e-07,4.9535e-07,3.83e+03,9.8339e-04,3.33e-01
CB1 - Min $\mu_{max}$ - High $m$ - Calculated $\gamma_{cell}$,1.64e+13,1.49e+11,1.63e+13,4.08e+10,1.23e+12,0.e+00,5.7e+06,0.e+00,1.95e-01,8.02e-01,4.99e-01,-2.74e-03,1.57e+01,1.8071e-01,7.4366e-01,2.7673e-07,2.7673e-07,6.86e+03,5.8423e-06,3.33e-01
CB4 - Min $\mu_{max}$ - High $m$ - Calculated $\gamma_{cell}$,1.69e+13,4.97e+10,1.57e+13,7.4e+11,1.02e+12,0.e+00,1.14e+07,0.e+00,1.01e-01,4.83e-01,2.92e-01,-2.74e-03,5.40e+01,9.9397e-02,4.7491e-01,3.2418e-07,3.2418e-07,5.85e+03,3.6886e-05,3.33e-01
CBIW - Min $\mu_{max}$ - High $m$ - Calculated $\gamma_{cell}$,1.64e+13,2.38e+10,1.63e+13,4.08e+10,3.60e+11,7.02e+08,1.39e+08,7.35e+00,8.06e-03,5.84e-02,3.32e-02,-2.74e-03,1.57e+01,7.9006e-03,5.7210e-02,4.9535e-07,4.9535e-07,3.83e+03,1.3592e-04,3.33e-01
CB1 - Min $\mu_{max}$ - High $m$ - Measured $\gamma_{cell}$,1.64e+13,1.49e+11,1.64e+13,4.08e+10,1.23e+12,0.e+00,5.7e+06,0.e+00,1.95e-01,8.02e-01,1.22e-02,8.12e+04,1.57e+01,1.8071e-01,7.4366e-01,2.7673e-07,2.7673e-07,6.86e+03,5.8423e-06,3.33e-01
CB4 - Min $\mu_{max}$ - High $m$ - Measured $\gamma_{cell}$,1.69e+13,4.97e+10,1.69e+13,7.4e+11,1.02e+12,0.e+00,1.14e+07,0.e+00,1.01e-01,4.83e-01,1.22e-02,7.10e+04,5.40e+01,9.9397e-02,4.7491e-01,3.2418e-07,3.2418e-07,5.85e+03,3.6886e-05,3.33e-01
CBIW - Min $\mu_{max}$ - High $m$ - Measured $\gamma_{cell}$,1.64e+13,2.38e+10,1.64e+13,4.08e+10,3.60e+11,7.02e+08,1.39e+08,7.35e+00,8.06e-03,5.84e-02,1.22e-02,4.87e+04,1.57e+01,7.9006e-03,5.7210e-02,4.9535e-07,4.9535e-07,3.83e+03,1.3592e-04,3.33e-01
CB1 - Max $\mu_{max}$ - Low $m$ - Calculated $\gamma_{cell}$,1.64e+13,1.49e+11,0.e+00,4.08e+10,1.23e+12,0.e+00,5.7e+06,0.e+00,1.95e-01,8.02e-01,4.99e-01,-2.74e-03,1.57e+01,1.8071e-01,7.4366e-01,6.e-02,2.7673e-07,6.86e+03,8.3904e-01,3.33e-01
CB4 - Max $\mu_{max}$ - Low $m$ - Calculated $\gamma_{cell}$,1.69e+13,4.97e+10,0.e+00,7.4e+11,1.02e+12,0.e+00,1.14e+07,0.e+00,1.01e-01,4.83e-01,2.92e-01,-2.74e-03,5.40e+01,9.9397e-02,4.7491e-01,1.6e-02,3.2418e-07,5.85e+03,8.969e-01,3.33e-01
CBIW - Max $\mu_{max}$ - Low $m$ - Calculated $\gamma_{cell}$,1.64e+13,2.38e+10,0.e+00,4.08e+10,3.60e+11,0.e+00,1.39e+08,0.e+00,8.06e-03,5.84e-02,3.32e-02,-2.74e-03,1.57e+01,7.9006e-03,5.7210e-02,6.e-02,4.9535e-07,3.83e+03,9.9168e-01,3.33e-01
CB1 - Max $\mu_{max}$ - Low $m$ - Measured $\gamma_{cell}$,1.64e+13,1.49e+11,1.64e+13,4.08e+10,1.23e+12,0.e+00,5.7e+06,0.e+00,1.95e-01,8.02e-01,1.22e-02,8.12e+04,1.57e+01,1.8071e-01,7.4366e-01,6.e-02,2.7673e-07,6.86e+03,8.3904e-01,3.33e-01
CB4 - Max $\mu_{max}$ - Low $m$ - Measured $\gamma_{cell}$,1.69e+13,4.97e+10,1.68e+13,7.4e+11,1.02e+12,0.e+00,1.14e+07,0.e+00,1.01e-01,4.83e-01,1.22e-02,7.10e+04,5.40e+01,9.9397e-02,4.7491e-01,1.6e-02,3.2418e-07,5.85e+03,8.969e-01,3.33e-01
CBIW - Max $\mu_{max}$ - Low $m$ - Measured $\gamma_{cell}$,1.64e+13,2.38e+10,0.e+00,4.08e+10,3.60e+11,0.e+00,1.39e+08,0.e+00,8.06e-03,5.84e-02,1.22e-02,4.87e+04,1.57e+01,7.9006e-03,5.7210e-02,6.e-02,4.9535e-07,3.83e+03,9.9168e-01,3.33e-01
CB1 - Max $\mu_{max}$ - High $m$ - Calculated $\gamma_{cell}$,1.64e+13,1.49e+11,1.63e+13,4.08e+10,1.23e+12,0.e+00,5.7e+06,0.e+00,1.95e-01,8.02e-01,4.99e-01,-2.74e-03,1.57e+01,1.8071e-01,7.4366e-01,6.e-02,2.7673e-07,6.86e+03,5.5883e-01,3.33e-01
CB4 - Max $\mu_{max}$ - High $m$ - Calculated $\gamma_{cell}$,1.69e+13,4.97e+10,1.57e+13,7.4e+11,1.02e+12,0.e+00,1.14e+07,0.e+00,1.01e-01,4.83e-01,2.92e-01,-2.74e-03,5.40e+01,9.9397e-02,4.7491e-01,1.6e-02,3.2418e-07,5.85e+03,6.4547e-01,3.33e-01
CBIW - Max $\mu_{max}$ - High $m$ - Calculated $\gamma_{cell}$,1.64e+13,2.38e+10,1.63e+13,4.08e+10,3.60e+11,0.e+00,1.39e+08,0.e+00,8.06e-03,5.84e-02,3.32e-02,-2.74e-03,1.57e+01,7.9006e-03,5.7210e-02,6.e-02,4.9535e-07,3.83e+03,9.4274e-01,3.33e-01
CB1 - Max $\mu_{max}$ - High $m$ - Measured $\gamma_{cell}$,1.64e+13,1.49e+11,1.64e+13,4.08e+10,1.23e+12,0.e+00,5.7e+06,0.e+00,1.95e-01,8.02e-01,1.22e-02,8.12e+04,1.57e+01,1.8071e-01,7.4366e-01,6.e-02,2.7673e-07,6.86e+03,5.5883e-01,3.33e-01
CB4 - Max $\mu_{max}$ - High $m$ - Measured $\gamma_{cell}$,1.69e+13,4.97e+10,1.69e+13,7.4e+11,1.02e+12,0.e+00,1.14e+07,0.e+00,1.01e-01,4.83e-01,1.22e-02,7.10e+04,5.40e+01,9.9397e-02,4.7491e-01,1.6e-02,3.2418e-07,5.85e+03,6.4547e-01,3.33e-01
CBIW - Max $\mu_{max}$ - High $m$ - Measured $\gamma_{cell}$,1.64e+13,2.38e+10,1.64e+13,4.08e+10,3.60e+11,0.e+00,1.39e+08,0.e+00,8.06e-03,5.84e-02,1.22e-02,4.87e+04,1.57e+01,7.9006e-03,5.7210e-02,6.e-02,4.9535e-07,3.83e+03,9.4274e-01,3.33e-01
